21 25
0 3.537009 9.773715 73.9054618667262
1 7.934028 5.594154 70.81460663957115
2 7.559359 7.310014 172.48090593193976
3 5.428186 3.823915 101.5815014281478
4 5.980001 7.118400 56.071838671532184
5 0.660381 6.503440 52.151369274019125
6 6.116341 2.560213 84.80363666002057
7 3.203745 6.015802 59.32285630325428
8 3.390638 3.103541 112.69037778839265
9 0.772710 9.881138 94.08866524850153
10 3.544234 6.698837 99.55864713595308
11 7.563091 8.516033 96.61650915928351
12 3.061848 8.482725 59.329804466678716
13 1.523958 9.175236 28.972384500003386
14 9.181412 6.241550 132.23639170837498
15 3.289274 2.718421 97.28186462662354
16 6.015265 1.223302 168.17227447992838
17 8.312575 3.574624 166.0602249198986
18 7.398538 4.513317 20.710981918382235
19 0.859161 8.058919 62.703150630314205
20 1.016756 6.975502 110.04974078343176
1 0.619132 4.220502 11.853939761649219 77.0
2 2.991303 4.009769 14.019457848241325 65.0
3 7.324042 3.764013 14.96585738429542 68.0
4 3.890907 0.868276 12.620977300428535 59.0
5 0.462850 1.453998 8.933441936476916 91.0
6 9.384309 3.524698 5.241231669645478 113.0
7 9.936723 0.908267 12.853833395026388 101.0
8 2.699934 9.118135 11.959933396470003 88.0
9 7.149817 5.989207 11.374460462163142 45.0
10 1.836556 3.165081 7.878070236443081 71.0
11 7.212509 0.149130 7.982761402655277 85.0
12 6.739705 5.745825 6.896364458366714 61.0
13 3.889892 4.138243 7.053455561212609 48.0
14 0.259142 4.749052 12.276690446320204 33.0
15 2.197162 1.275898 9.467327657470268 36.0
16 1.724554 2.816294 11.085071758352576 42.0
17 5.496400 4.715858 10.609456740361985 54.0
18 6.826063 2.820442 8.172170505837343 109.0
19 8.479871 0.716971 7.145488928538514 95.0
20 3.688718 8.942721 12.083081531589837 25.0
21 2.170969 3.073027 11.872158983545216 79.0
22 2.467418 2.107692 12.528633743695053 100.0
23 3.981294 5.167352 13.102925021104923 66.0
24 1.225827 1.131110 11.103095377667785 121.0
25 1.156559 3.062383 13.171632688381221 80.0
